; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/data/sequences/peak-motifs_test.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/oligos_7nt_mkv5_m2/peak-motifs_oligos_7nt_mkv5_m2_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29701
;		c	0.20351
;		g	0.20377
;		t	0.29571
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name              	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	oligos_7nt_mkv5_m2	11	4	1	-39.100	11.500	50.600	a:0.297 c:0.204 g:0.204 t:0.296 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
oligos_7nt_mkv5_m2	-2.2	686	2592123	23881	9.128812e-03	5.894445e-03	15419.89	0.000000e+00	0.000000e+00	350.00	29
oligos_7nt_mkv5_m2	-2.1	876	2592999	23005	8.793950e-03	5.685549e-03	14873.41	0.000000e+00	0.000000e+00	350.00	30
oligos_7nt_mkv5_m2	-2.0	865	2593864	22140	8.463293e-03	5.473813e-03	14319.51	0.000000e+00	0.000000e+00	350.00	31
oligos_7nt_mkv5_m2	-1.9	657	2594521	21483	8.212147e-03	5.281921e-03	13817.52	0.000000e+00	0.000000e+00	350.00	32
oligos_7nt_mkv5_m2	-1.8	609	2595130	20874	7.979349e-03	5.069972e-03	13263.06	0.000000e+00	0.000000e+00	350.00	33
oligos_7nt_mkv5_m2	-1.7	618	2595748	20256	7.743110e-03	4.884424e-03	12777.67	0.000000e+00	0.000000e+00	350.00	34
oligos_7nt_mkv5_m2	-1.6	840	2596588	19416	7.422010e-03	4.718330e-03	12343.17	0.000000e+00	0.000000e+00	350.00	35
oligos_7nt_mkv5_m2	-1.5	750	2597338	18666	7.135313e-03	4.522669e-03	11831.31	0.000000e+00	0.000000e+00	350.00	36
oligos_7nt_mkv5_m2	-1.4	632	2597970	18034	6.893723e-03	4.362563e-03	11412.48	0.000000e+00	0.000000e+00	350.00	37
oligos_7nt_mkv5_m2	-1.3	609	2598579	17425	6.660925e-03	4.170774e-03	10910.76	0.000000e+00	0.000000e+00	350.00	38
oligos_7nt_mkv5_m2	-1.2	586	2599165	16839	6.436919e-03	4.035540e-03	10556.98	0.000000e+00	0.000000e+00	350.00	39
oligos_7nt_mkv5_m2	-1.1	584	2599749	16255	6.213678e-03	3.878621e-03	10146.48	0.000000e+00	0.000000e+00	350.00	40
oligos_7nt_mkv5_m2	-1.0	474	2600223	15781	6.032485e-03	3.716547e-03	9722.50	0.000000e+00	0.000000e+00	350.00	41
oligos_7nt_mkv5_m2	-0.9	491	2600714	15290	5.844795e-03	3.579177e-03	9363.14	0.000000e+00	0.000000e+00	350.00	42
oligos_7nt_mkv5_m2	-0.8	450	2601164	14840	5.672776e-03	3.436966e-03	8991.11	0.000000e+00	0.000000e+00	350.00	43
oligos_7nt_mkv5_m2	-0.7	424	2601588	14416	5.510697e-03	3.301420e-03	8636.53	0.000000e+00	0.000000e+00	350.00	44
oligos_7nt_mkv5_m2	-0.6	418	2602006	13998	5.350911e-03	3.180013e-03	8318.92	0.000000e+00	0.000000e+00	350.00	45
oligos_7nt_mkv5_m2	-0.5	465	2602471	13533	5.173159e-03	3.059865e-03	8004.62	0.000000e+00	0.000000e+00	350.00	46
oligos_7nt_mkv5_m2	-0.4	367	2602838	13166	5.032869e-03	2.938459e-03	7687.02	0.000000e+00	0.000000e+00	350.00	47
oligos_7nt_mkv5_m2	-0.3	425	2603263	12741	4.870407e-03	2.843498e-03	7438.60	0.000000e+00	0.000000e+00	350.00	48
