; classfreq  -v 1 -ci 1 -o $RSAT/public_html/tmp/apache/2014/10/08/peak-motifs.2014-10-08.083939_2014-10-08.083939_hIGyA6/results/discovered_motifs/positions_7nt_m2/peak-motifs_positions_7nt_m2_sites_per_peak.tab
;	min                 	minimum of class interval (inclusive)
;	max                 	maximum of class interval (exclusive)
;	center              	center of class interval
;	n                   	occurrences
;	n_cum               	cumulative occurrences (inclusive)
;	n_dcum              	decreasing cumulative occurrences (inclusive)
;	f                   	frequencies
;	f_cum               	cumulative frequencies (inclusive)
;	f_dcum              	decreasing cumulative frequencies (inclusive)
#[min	max[	center	n	n_cum	n_dcum	f	f_cum	f_dcum
100	101	100.5	1	313	3	0.00317	0.99365	0.00952
101	102	101.5	0	313	2	0.00000	0.99365	0.00635
102	103	102.5	0	313	2	0.00000	0.99365	0.00635
103	104	103.5	0	313	2	0.00000	0.99365	0.00635
104	105	104.5	0	313	2	0.00000	0.99365	0.00635
105	106	105.5	0	313	2	0.00000	0.99365	0.00635
106	107	106.5	0	313	2	0.00000	0.99365	0.00635
107	108	107.5	0	313	2	0.00000	0.99365	0.00635
108	109	108.5	0	313	2	0.00000	0.99365	0.00635
109	110	109.5	0	313	2	0.00000	0.99365	0.00635
110	111	110.5	0	313	2	0.00000	0.99365	0.00635
111	112	111.5	0	313	2	0.00000	0.99365	0.00635
112	113	112.5	0	313	2	0.00000	0.99365	0.00635
113	114	113.5	0	313	2	0.00000	0.99365	0.00635
114	115	114.5	0	313	2	0.00000	0.99365	0.00635
115	116	115.5	0	313	2	0.00000	0.99365	0.00635
116	117	116.5	0	313	2	0.00000	0.99365	0.00635
117	118	117.5	0	313	2	0.00000	0.99365	0.00635
118	119	118.5	0	313	2	0.00000	0.99365	0.00635
119	120	119.5	0	313	2	0.00000	0.99365	0.00635
120	121	120.5	0	313	2	0.00000	0.99365	0.00635
121	122	121.5	0	313	2	0.00000	0.99365	0.00635
122	123	122.5	0	313	2	0.00000	0.99365	0.00635
123	124	123.5	0	313	2	0.00000	0.99365	0.00635
124	125	124.5	1	314	2	0.00317	0.99683	0.00635
125	126	125.5	0	314	1	0.00000	0.99683	0.00317
126	127	126.5	0	314	1	0.00000	0.99683	0.00317
127	128	127.5	0	314	1	0.00000	0.99683	0.00317
128	129	128.5	0	314	1	0.00000	0.99683	0.00317
129	130	129.5	0	314	1	0.00000	0.99683	0.00317
130	131	130.5	0	314	1	0.00000	0.99683	0.00317
131	132	131.5	0	314	1	0.00000	0.99683	0.00317
132	133	132.5	0	314	1	0.00000	0.99683	0.00317
133	134	133.5	0	314	1	0.00000	0.99683	0.00317
134	135	134.5	0	314	1	0.00000	0.99683	0.00317
135	136	135.5	0	314	1	0.00000	0.99683	0.00317
136	137	136.5	0	314	1	0.00000	0.99683	0.00317
137	138	137.5	0	314	1	0.00000	0.99683	0.00317
138	139	138.5	0	314	1	0.00000	0.99683	0.00317
139	140	139.5	0	314	1	0.00000	0.99683	0.00317
140	141	140.5	0	314	1	0.00000	0.99683	0.00317
141	142	141.5	0	314	1	0.00000	0.99683	0.00317
142	143	142.5	0	314	1	0.00000	0.99683	0.00317
143	144	143.5	0	314	1	0.00000	0.99683	0.00317
144	145	144.5	0	314	1	0.00000	0.99683	0.00317
145	146	145.5	0	314	1	0.00000	0.99683	0.00317
146	147	146.5	0	314	1	0.00000	0.99683	0.00317
147	148	147.5	0	314	1	0.00000	0.99683	0.00317
148	149	148.5	0	314	1	0.00000	0.99683	0.00317
149	150	149.5	0	314	1	0.00000	0.99683	0.00317
150	151	150.5	0	314	1	0.00000	0.99683	0.00317
151	152	151.5	0	314	1	0.00000	0.99683	0.00317
152	153	152.5	0	314	1	0.00000	0.99683	0.00317
153	154	153.5	0	314	1	0.00000	0.99683	0.00317
154	155	154.5	0	314	1	0.00000	0.99683	0.00317
155	156	155.5	0	314	1	0.00000	0.99683	0.00317
156	157	156.5	0	314	1	0.00000	0.99683	0.00317
157	158	157.5	0	314	1	0.00000	0.99683	0.00317
158	159	158.5	0	314	1	0.00000	0.99683	0.00317
159	160	159.5	0	314	1	0.00000	0.99683	0.00317
160	161	160.5	0	314	1	0.00000	0.99683	0.00317
161	162	161.5	0	314	1	0.00000	0.99683	0.00317
162	163	162.5	0	314	1	0.00000	0.99683	0.00317
163	164	163.5	0	314	1	0.00000	0.99683	0.00317
164	165	164.5	0	314	1	0.00000	0.99683	0.00317
165	166	165.5	0	314	1	0.00000	0.99683	0.00317
166	167	166.5	0	314	1	0.00000	0.99683	0.00317
167	168	167.5	0	314	1	0.00000	0.99683	0.00317
168	169	168.5	0	314	1	0.00000	0.99683	0.00317
169	170	169.5	1	315	1	0.00317	1.00000	0.00317
; Statistics:
; -----------
; class interval     	1
; classes            	168
; count              	315
; sum                	2862
; mean               	9.08571
; median class       	[3..4[
; var                	261
; std                	16.1621
; min                	2
; max                	169
; range              	167
; Host name	biow
; Job started	2014-10-08.084728
; Job done	2014-10-08.084728
; Seconds	0.23
;	user	0.23
;	system	0.02
;	cuser	0
;	csystem	0
